dataset_name,xyz_lr_c,xyz_lr_final_c,radius_lr_c,radius_lr_final_c,weights_lr_c,weights_lr_final_c,mean_training_loss,mean_density_field_loss
starling,0.01,0.8,0.2,0.7,0.1,0.9,109505.0703125,0.8076280481423438
starling,0.01,0.8,0.2,0.7,0.14,0.7,107149.607421875,0.8219105312740042
starling,0.01,0.8,0.2,0.7,0.14,0.8,106529.998046875,0.8264318720086903
starling,0.01,0.8,0.2,0.7,0.14,0.9,109423.599609375,0.8220131650302265
starling,0.01,0.8,0.2,0.7,0.2,0.7,114136.279296875,0.8419723967425363
starling,0.01,0.8,0.2,0.7,0.2,0.8,115377.923828125,0.8399521434587118
starling,0.01,0.8,0.2,0.7,0.2,0.9,115220.517578125,0.8473060042123468
starling,0.01,0.8,0.2,0.8,0.1,0.7,108835.673828125,0.8047474412986035
starling,0.01,0.8,0.2,0.8,0.1,0.8,111273.939453125,0.8143899840657058
starling,0.01,0.8,0.2,0.8,0.1,0.9,111324.765625,0.8118332869059648
starling,0.01,0.8,0.2,0.8,0.14,0.7,108155.796875,0.8271703292805436
starling,0.01,0.8,0.2,0.8,0.14,0.8,107402.4140625,0.8145123321544444
starling,0.01,0.8,0.2,0.8,0.14,0.9,110281.41796875,0.8157834270768735
starling,0.01,0.8,0.2,0.8,0.2,0.7,115206.103515625,0.847080062446194
starling,0.01,0.8,0.2,0.8,0.2,0.8,116652.794921875,0.8464500099829508
starling,0.01,0.8,0.2,0.8,0.2,0.9,116170.48828125,0.8397200702684378
starling,0.01,0.8,0.2,0.9,0.1,0.7,109629.84375,0.8014697726301967
starling,0.01,0.8,0.2,0.9,0.1,0.8,110294.33203125,0.8042617535601944
starling,0.01,0.8,0.2,0.9,0.1,0.9,110142.10546875,0.8020740930289644
starling,0.01,0.8,0.2,0.9,0.14,0.7,110435.5703125,0.8379285378886185
starling,0.01,0.8,0.2,0.9,0.14,0.8,110173.76171875,0.8233070587417572
starling,0.01,0.8,0.2,0.9,0.14,0.9,109999.5234375,0.8178052369653426
starling,0.01,0.8,0.2,0.9,0.2,0.7,115015.728515625,0.8414192011676351
starling,0.01,0.8,0.2,0.9,0.2,0.8,116890.703125,0.8450921280460835
starling,0.01,0.8,0.2,0.9,0.2,0.9,115770.25,0.8461635948937251
starling,0.01,0.9,0.05,0.7,0.1,0.7,95356.166015625,0.7955655209479564
starling,0.01,0.9,0.05,0.7,0.1,0.8,95625.970703125,0.7994002602437038
starling,0.01,0.9,0.05,0.7,0.1,0.9,95952.392578125,0.8023679371686012
starling,0.01,0.9,0.05,0.7,0.14,0.7,101610.33984375,0.8150803940410186
starling,0.01,0.9,0.05,0.7,0.14,0.8,101652.3203125,0.8171690225620029
starling,0.01,0.9,0.05,0.7,0.14,0.9,102356.224609375,0.8208892854036014
starling,0.01,0.9,0.05,0.7,0.2,0.7,113732.859375,0.8221300251642903
starling,0.01,0.9,0.05,0.7,0.2,0.8,113904.2265625,0.8189725088462426
starling,0.01,0.9,0.05,0.7,0.2,0.9,115320.37109375,0.8126549475244951
starling,0.01,0.9,0.05,0.8,0.1,0.7,94841.30078125,0.7974387309865212
starling,0.01,0.9,0.05,0.8,0.1,0.8,94828.455078125,0.801694352976119
starling,0.01,0.9,0.05,0.8,0.1,0.9,95142.001953125,0.8045093900075138
starling,0.01,0.9,0.05,0.8,0.14,0.7,101255.599609375,0.8169640953062909
starling,0.01,0.9,0.05,0.8,0.14,0.8,101868.1796875,0.8208288492120466
starling,0.01,0.9,0.05,0.8,0.14,0.9,101962.724609375,0.8228898750751732
starling,0.01,0.9,0.05,0.8,0.2,0.7,113721.62890625,0.8225850111132378
starling,0.01,0.9,0.05,0.8,0.2,0.8,114023.328125,0.819854835587733
starling,0.01,0.9,0.05,0.8,0.2,0.9,115476.537109375,0.8138559933526112
starling,0.01,0.9,0.05,0.9,0.1,0.7,94484.875,0.7998632902537655
starling,0.01,0.9,0.05,0.9,0.1,0.8,94573.21875,0.8025689325617082
starling,0.01,0.9,0.05,0.9,0.1,0.9,94711.759765625,0.8043714480463707
